disorder_cui|name|definition
C0001175|Acquired Immunodeficiency Syndrome|An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993.
C0024473|Magnesium Deficiency|A nutritional condition produced by a deficiency of magnesium in the diet, characterized by anorexia, nausea, vomiting, lethargy, and weakness. Symptoms are paresthesias, muscle cramps, irritability, decreased attention span, and mental confusion, possibly requiring months to appear. Deficiency of body magnesium can exist even when serum values are normal. In addition, magnesium deficiency may be organ-selective, since certain tissues become deficient before others. (Harrison's Principles of Internal Medicine, 12th ed, p1936)
C0020621|Hypokalemia|Abnormally low potassium concentration in the blood. It may result from potassium loss by renal secretion or by the gastrointestinal route, as by vomiting or diarrhea. It may be manifested clinically by neuromuscular disorders ranging from weakness to paralysis, by electrocardiographic abnormalities (depression of the T wave and elevation of the U wave), by renal disease, and by gastrointestinal disorders. (Dorland, 27th ed)
C0020615|Hypoglycemia|A syndrome of abnormally low BLOOD GLUCOSE level. Clinical hypoglycemia has diverse etiologies. Severe hypoglycemia eventually lead to glucose deprivation of the CENTRAL NERVOUS SYSTEM resulting in HUNGER; SWEATING; PARESTHESIA; impaired mental function; SEIZURES; COMA; and even DEATH.
C0032787|Postoperative Complications|Pathologic processes that affect patients after a surgical procedure. They may or may not be related to the disease for which the surgery was done, and they may or may not be direct results of the surgery.
C0020625|Hyponatremia|Deficiency of sodium in the blood; salt depletion. (Dorland, 27th ed)
C0013238|Dry Eye Syndromes|Corneal and conjunctival dryness due to deficient tear production, predominantly in menopausal and post-menopausal women. Filamentary keratitis or erosion of the conjunctival and corneal epithelium may be caused by these disorders. Sensation of the presence of a foreign body in the eye and burning of the eyes may occur.
C0010037|Corneal edema|An excessive amount of fluid in the cornea due to damage of the epithelium or endothelium causing decreased visual acuity.
C0011175|Dehydration|The condition that results from excessive loss of water from a living organism.
C0043251|Wounds and Injuries|Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.
C0036982|Shock, Hemorrhagic|Acute hemorrhage or excessive fluid loss resulting in HYPOVOLEMIA.
C0020461|Hyperkalemia|Abnormally high potassium concentration in the blood, most often due to defective renal excretion. It is characterized clinically by electrocardiographic abnormalities (elevated T waves and depressed P waves, and eventually by atrial asystole). In severe cases, weakness and flaccid paralysis may occur. (Dorland, 27th ed)
C0017168|Gastroesophageal reflux disease|Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER.
C0018790|Cardiac Arrest|Cessation of heart beat or MYOCARDIAL CONTRACTION. If it is treated within a few minutes, heart arrest can be reversed in most cases to normal cardiac rhythm and effective circulation.
C0018834|Heartburn|Substernal pain or burning sensation, usually associated with regurgitation of gastric juice into the esophagus.
C0013395|Dyspepsia|Impaired digestion, especially after eating.
C0029944|Drug Overdose|Accidental or deliberate use of a medication or street drug in excess of normal dosage.
C0001126|Renal tubular acidosis|A group of genetic disorders of the KIDNEY TUBULES characterized by the accumulation of metabolically produced acids with elevated plasma chloride, hyperchloremic metabolic ACIDOSIS. Defective renal acidification of URINE (proximal tubules) or low renal acid excretion (distal tubules) can lead to complications such as HYPOKALEMIA, hypercalcinuria with NEPHROLITHIASIS and NEPHROCALCINOSIS, and RICKETS.
C0020598|Hypocalcemia|Reduction of the blood calcium below normal. Manifestations include hyperactive deep tendon reflexes, Chvostek's sign, muscle and abdominal cramps, and carpopedal spasm. (Dorland, 27th ed)
C0039621|Tetany|A disorder characterized by muscle twitches, cramps, and carpopedal spasm, and when severe, laryngospasm and seizures. This condition is associated with unstable depolarization of axonal membranes, primarily in the peripheral nervous system. Tetany usually results from HYPOCALCEMIA or reduced serum levels of MAGNESIUM that may be associated with HYPERVENTILATION; HYPOPARATHYROIDISM; RICKETS; UREMIA; or other conditions. (From Adams et al., Principles of Neurology, 6th ed, p1490)
C0015456|Facial Dermatoses|Skin diseases involving the FACE.
C0011603|Dermatitis|Any inflammation of the skin.
C0085682|Hypophosphatemia|A condition of an abnormally low level of PHOSPHATES in the blood.
C0079744|Diffuse Large B-Cell Lymphoma|Malignant lymphoma composed of large B lymphoid cells whose nuclear size can exceed normal macrophage nuclei, or more than twice the size of a normal lymphocyte. The pattern is predominantly diffuse. Most of these lymphomas represent the malignant counterpart of B-lymphocytes at midstage in the process of differentiation.
C0035328|Retinal Vein Occlusion|Blockage of the RETINAL VEIN. Those at high risk for this condition include patients with HYPERTENSION; DIABETES MELLITUS; ATHEROSCLEROSIS; and other CARDIOVASCULAR DISEASES.
C2237660|exudative macular degeneration|A form of RETINAL DEGENERATION in which abnormal CHOROIDAL NEOVASCULARIZATION occurs under the RETINA and MACULA LUTEA, causing bleeding and leaking of fluid. This leads to bulging and or lifting of the macula and the distortion or destruction of central vision.
C0019196|Hepatitis C|INFLAMMATION of the LIVER in humans caused by HEPATITIS C VIRUS, a single-stranded RNA virus. Its incubation period is 30-90 days. Hepatitis C is transmitted primarily by contaminated blood parenterally and is often associated with transfusion and intravenous drug abuse. However, in a significant number of cases, the source of hepatitis C infection is unknown.
C0524910|Hepatitis C, Chronic|INFLAMMATION of the LIVER in humans that is caused by HEPATITIS C VIRUS lasting six months or more. Chronic hepatitis C can lead to LIVER CIRRHOSIS.
C0032463|Polycythemia Vera|A myeloproliferative disorder of unknown etiology, characterized by abnormal proliferation of all hematopoietic bone marrow elements and an absolute increase in red cell mass and total blood volume, associated frequently with splenomegaly, leukocytosis, and thrombocythemia. Hematopoiesis is also reactive in extramedullary sites (liver and spleen). In time myelofibrosis occurs.
C0242788|Breast Neoplasms, Male|Any neoplasms of the male breast. These occur infrequently in males in developed countries, the incidence being about 1% of that in females.
C0013221|Drug toxicity|undefined
C0428977|Bradycardia|Cardiac arrhythmias that are characterized by excessively slow HEART RATE, usually below 50 beats per minute in human adults. They can be classified broadly into SINOATRIAL NODE dysfunction and ATRIOVENTRICULAR BLOCK.
C0038358|Gastric ulcer|Ulceration of the GASTRIC MUCOSA due to contact with GASTRIC JUICE. It is often associated with HELICOBACTER PYLORI infection or consumption of nonsteroidal anti-inflammatory drugs (NSAIDS).
C0042164|Uveitis|Inflammation of part or all of the uvea, the middle (vascular) tunic of the eye, and commonly involving the other tunics (sclera and cornea, and the retina). (Dorland, 27th ed)
C0037188|Sinoatrial Block|Disturbance in the atrial activation that is caused by transient failure of impulse conduction from the SINOATRIAL NODE to the HEART ATRIA. It is characterized by a delayed in heartbeat and pauses between P waves in an ELECTROCARDIOGRAM.
C0032343|Poisoning|A condition or physical state produced by the ingestion, injection, inhalation of or exposure to a deleterious agent.
C0752303|Urological Manifestations|Clinical disturbances of the urinary system.
C0009806|Constipation|Infrequent or difficult evacuation of FECES. These symptoms are associated with a variety of causes, including low DIETARY FIBER intake, emotional or nervous disturbances, systemic and structural disorders, drug-induced aggravation, and infections.
C0027873|Neuromyelitis Optica|A syndrome characterized by acute OPTIC NEURITIS; MYELITIS, TRANSVERSE; demyelinating and/or necrotizing lesions in the OPTIC NERVES and SPINAL CORD; and presence of specific autoantibodies to AQUAPORIN 4.
C2751492|AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED|undefined
C0036992|Short Bowel Syndrome|A malabsorption syndrome resulting from extensive operative resection of the SMALL INTESTINE, the absorptive region of the GASTROINTESTINAL TRACT.
C0026847|Spinal Muscular Atrophy|A group of disorders marked by progressive degeneration of motor neurons in the spinal cord resulting in weakness and muscular atrophy, usually without evidence of injury to the corticospinal tracts. Diseases in this category include Werdnig-Hoffmann disease and later onset SPINAL MUSCULAR ATROPHIES OF CHILDHOOD, most of which are hereditary. (Adams et al., Principles of Neurology, 6th ed, p1089)
C1854023|Spinal muscular atrophy, Jerash type|undefined
C3495559|Juvenile arthritis|Arthritis in children, with onset before 16 years of age. The terms juvenile rheumatoid arthritis (JRA) and juvenile idiopathic arthritis (JIA) refer to classification systems for chronic arthritis in children. Only one subtype of juvenile arthritis (polyarticular-onset, rheumatoid factor-positive) clinically resembles adult rheumatoid arthritis and is considered its childhood equivalent.
C0009938|Contusions|Injuries resulting in hemorrhage, usually manifested in the skin.
C0184567|Acute onset pain|Intensely discomforting, distressful, or agonizing sensation associated with trauma or disease, with well-defined location, character, and timing.
C0003864|Arthritis|Acute or chronic inflammation of JOINTS.
C0004604|Back Pain|Acute or chronic pain located in the posterior regions of the THORAX; LUMBOSACRAL REGION; or the adjacent regions.
C0038048|Sprains and Strains|A collective term for muscle and ligament injuries without dislocation or fracture. A sprain is a joint injury in which some of the fibers of a supporting ligament are ruptured but the continuity of the ligament remains intact. A strain is an overstretching or overexertion of some part of the musculature.
C0026821|Muscle Cramp|A sustained and usually painful contraction of muscle fibers. This may occur as an isolated phenomenon or as a manifestation of an underlying disease process (e.g., UREMIA; HYPOTHYROIDISM; MOTOR NEURON DISEASE; etc.). (From Adams et al., Principles of Neurology, 6th ed, p1398)
C0021368|Inflammation|A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function.
C0037274|Dermatologic disorders|Diseases involving the DERMIS or EPIDERMIS.
C0030193|Pain|An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.
C0017185|Gastrointestinal Neoplasms|Tumors or cancer of the GASTROINTESTINAL TRACT, from the MOUTH to the ANAL CANAL.
C0206754|Neuroendocrine Tumors|Tumors whose cells possess secretory granules and originate from the neuroectoderm, i.e., the cells of the ectoblast or epiblast that program the neuroendocrine system. Common properties across most neuroendocrine tumors include ectopic hormone production (often via APUD CELLS), the presence of tumor-associated antigens, and isozyme composition.
C0030297|Pancreatic Neoplasm|Tumors or cancer of the PANCREAS. Depending on the types of ISLET CELLS present in the tumors, various hormones can be secreted: GLUCAGON from PANCREATIC ALPHA CELLS; INSULIN from PANCREATIC BETA CELLS; and SOMATOSTATIN from the SOMATOSTATIN-SECRETING CELLS. Most are malignant except the insulin-producing tumors (INSULINOMA).
C0238198|Gastrointestinal Stromal Tumors|All tumors in the GASTROINTESTINAL TRACT arising from mesenchymal cells (MESODERM) except those of smooth muscle cells (LEIOMYOMA) or Schwann cells (SCHWANNOMA).
C0011156|Deficiency Diseases|A condition produced by dietary or metabolic deficiency. The term includes all diseases caused by an insufficient supply of essential nutrients, i.e., protein (or amino acids), vitamins, and minerals. It also includes an inadequacy of calories. (From Dorland, 27th ed; Stedman, 25th ed)
C0009443|Common Cold|A catarrhal disorder of the upper respiratory tract, which may be viral or a mixed infection. It generally involves a runny nose, nasal congestion, and sneezing.
C0268486|Hereditary hypertyrosinemia|A group of disorders which have in common elevations of tyrosine in the blood and urine secondary to an enzyme deficiency. Type I tyrosinemia features episodic weakness, self-mutilation, hepatic necrosis, renal tubular injury, and seizures and is caused by a deficiency of the enzyme fumarylacetoacetase. Type II tyrosinemia features INTELLECTUAL DISABILITY, painful corneal ulcers, and keratoses of the palms and plantar surfaces and is caused by a deficiency of the enzyme TYROSINE TRANSAMINASE. Type III tyrosinemia features INTELLECTUAL DISABILITY and is caused by a deficiency of the enzyme 4-HYDROXYPHENYLPYRUVATE DIOXYGENASE. (Menkes, Textbook of Child Neurology, 5th ed, pp42-3)
C0043254|Wounds, Penetrating|Wounds caused by objects penetrating the skin.
