drug_cui|name
C0025646|methionine
C0031453|phenylalanine
C0033382|proline
C0036720|serine
C0040005|threonine
C0041249|tryptophan
C0052804|azobenzenearsonate-N-acetyl-L-tyrosine
C0042285|valine
C0017890|glycine
C5772752|chitosan-N-acetyl-L-cysteine
C0039350|taurine
C2827428|malic acid, L-
C3463896|atorvastatin calcium trihydrate
C0771488|gemcitabine hydrochloride
C0388087|fingolimod hydrochloride
C0358905|isoniazid / rifampin
C0034239|pyrazinamide
C3257586|Live Attenuated Varicella Zoster Virus Vaccine
C4055417|avelumab
C1615645|rasagiline mesylate
C2350811|sugammadex sodium
C0007343|castor oil
C0087093|timolol maleate
C0673966|brinzolamide
C0248719|telmisartan
C1690432|denosumab
C0728747|trastuzumab
C4528197|Copanlisib dihydrochloride
C3501358|ibrutinib
C0301851|Agglutinogen
C0538927|celecoxib
C0071568|pegaspargase
C3154850|rilpivirine hydrochloride
C0062527|hepatitis B surface antigen vaccine
C0064636|lamotrigine
C1260298|tigecycline
C0023566|levonorgestrel
C1170746|escitalopram oxalate
C0724555|citalopram hydrobromide
C2698764|perampanel
C0724515|abacavir sulfate
C4257011|lonoctocog alfa
C1723401|belimumab
C4519536|glecaprevir
C4519537|pibrentasvir
C4524505|niraparib tosylate monohydrate
C0037134|silver sulfadiazine
C3853822|palbociclib
C0041190|tropicamide
C0209368|mycophenolate mofetil
C0731033|leucovorin calcium
C0700579|diltiazem hydrochloride
C0031470|phenylephrine hydrochloride
C0299792|aripiprazole
C0393080|voriconazole
C0527379|candesartan cilexetil
C5688100|Upadacitinib hemihydrate
C5834387|Intravenous immunoglobulin (IVIg)
C0064113|itraconazole
C0010927|dacarbazine
C0055856|clarithromycin
C4048244|chromic chloride hexahydrate
C0917989|Copper chloride dihydrate
C0890923|ferric chloride hexahydrate
C0891147|manganese chloride, tetrahydrate
C0032831|potassium iodide
C0037508|sodium fluoride
C1656267|sodium molybdate dihydrate
C0078774|zinc chloride
C5789026|Sodium selenite anhydrous
C3853839|blinatumomab
C3667607|vortioxetine hydrobromide
C0771774|tamsulosin hydrochloride
C1170745|ertapenem sodium
C0795582|azithromycin dihydrate
C1700685|sunitinib malate
C0915144|parecoxib sodium
C0589978|imipramine hydrochloride
C4519262|Methylprednisone
C0770560|hydrocortisone sodium succinate
C0025815|methylprednisolone
C0025819|Methylprednisolone Hemisuccinate
C1121849|vandetanib
C4079830|venetoclax
C0005632|bisacodyl
C2987642|lenvatinib mesylate
C1678805|apremilast
C5438075|Azilsartan medoxomil potassium
C0596007|hydroxychloroquine sulfate
C0022635|ketoprofen
C0054836|carvedilol
C3490348|empagliflozin
C0971637|agomelatine
C4058841|tenofovir alafenamide fumarate
C0103045|amisulpride
C4551052|bictegravir sodium
C0970823|Dapoxetine hydrochloride
C0939539|ziprasidone hydrochloride, monohydrate
C1367202|ipilimumab
C1872109|certolizumab pegol
C0059865|etodolac
C0025677|methotrexate
C0132515|nimesulide
C3468008|cabozantinib s-malate
C0055881|clindamycin phosphate
C0772181|estradiol hemihydrate
C0013340|dydrogesterone
C3661451|TAK-390
C0282274|oxycodone hydrochloride
C1999375|ticagrelor
C0050940|lansoprazole
C0772415|rivastigmine tartrate
C3852217|guselkumab
C0724680|quetiapine fumarate
C1137102|triptorelin pamoate
C0006050|botulinum toxin type A
C4317168|Irinotecan hydrochloride trihydrate
C0004057|aspirin
C0770150|nicardipine hydrochloride
C0393022|rituximab
C0076040|teferrol
C2350089|tramadol hydrochloride
C0765538|dexketoprofen trometamol
C4694273|galcanezumab
C4726574|vonoprazan fumarate
C3247907|ruxolitinib phosphate
C1456408|liraglutide
C2746078|linagliptin
C3709474|umeclidinium bromide
C3644419|vilanterol trifenatate
C1948374|fluticasone furoate
C0244713|interferon beta-1b
C0795635|insulin, regular, human
C0293359|insulin lispro
C0004886|BCG Vaccine
C0004475|azacitidine
C2702333|immunoglobulin G, human
C3660996|dupilumab
C0018546|haloperidol
C1876226|imidafenacin
C0165631|adapalene
C0005088|benzoyl peroxide
C0282104|ciprofloxacin hydrochloride
C0016298|fluocinolone acetonide
C4519594|inebilizumab
C0700596|leuprolide acetate
C4726900|trastuzumab deruxtecan
C4086553|luspatercept
C0073379|riluzole
C4519213|trifarotene
C0020740|ibuprofen
C4045511|finerenone
C2930764|ataluren
C0304982|sodium iodide I131
C2932486|N-(2-amino-5-fluorobenzyl)-4-(N-(pyridine-3-acrylyl)aminomethyl)benzamide
C0061673|varicella zoster virus glycoprotein E
C4519229|pegvaliase
C0724693|sildenafil citrate
C5418376|estetrol monohydrate
C0043822|drospirenone
C1144149|lenalidomide
C3886623|fedratinib
C0040866|triamcinolone acetonide
C4726772|somatrogon
C0872972|pioglitazone hydrochloride
C0257685|zoledronic acid
C4079208|encorafenib
C3899947|binimetinib
C1949480|protein C, human
C0070093|teriparatide
C0724622|magnesium chloride hexahydrate
C0000983|acetic acid
C1268876|follitropin alfa
C5235396|selpercatinib
C0039871|thiotepa
C5418250|sotorasib
C5558022|PNEUMOCOCCAL 15-VALENT CONJUGATE
C3852671|selinexor
C0113286|dexamethasone sodium phosphate
C4511692|Levofloxacin hemihydrate
C5688119|Lidocaine hydrochloride monohydrate
C2934701|ponesimod
C4694272|eptinezumab
C0724570|dibasic sodium phosphate heptahydrate
C0031700|phosphoric acid
C0314974|Bifidobacterium bifidum
C0022939|Lactobacillus acidophilus
C0038404|Enterococcus faecalis
C4550350|ravulizumab
C1122087|adalimumab
C4075114|Dioctahedral smectite
C0015846|fentanyl
C5139890|faricimab
C3179549|dulaglutide
C4688584|givosiran
C0127615|mesalamine
C5880884|Enterovirus A71 antigen
C2720023|pitavastatin calcium
C1137427|agalsidase beta
C4550163|tezepelumab
C4043101|aducanumab
C4726770|somapacitan
C5239395|tirbanibulin
C3652864|glyceryl trinitrate, combinations
C4086837|sacituzumab govitecan
C4278675|ozanimod
C4519739|anifrolumab
C0025326|Menotropins
C0026256|mitotane
C5422688|casirivimab
C5422689|imdevimab
C2683417|prasugrel hydrochloride
C4763385|mosunetuzumab
C0772093|Saccharomyces boulardii
C0142874|sodium lactate
C1165353|anhydrous dextrose
C3891716|Compound Sodium Lactate Solution
C0001367|acyclovir
C0771200|venlafaxine hydrochloride
C3661283|romosozumab
C0600526|sertraline hydrochloride
C3713860|lifitegrast
C2607886|abiraterone acetate
C1725651|darunavir ethanolate
C3177235|cobicistat
C0055568|cholic acid
C2742503|obinutuzumab
C0290883|anastrozole
C0092801|cladribine
C2974289|crizotinib
C5547721|Dacomitinib monohydrate
C1337330|melitracen HCl
C0770891|flupentixol hydrochloride
C3179547|secukinumab
C0043474|zidovudine
C0700465|propafenone hydrochloride
C0079589|tamoxifen citrate
C0074554|simvastatin
C0380447|montelukast sodium
C0063817|iopromide
C0724725|zolpidem tartrate
C0039607|testosterone propionate
C0076184|testosterone 17-phenylpropionate
C0253907|testosterone isocaproate
C0076188|testosterone decanoate
C0663241|linezolid
C0015506|factor VIII
C0949312|galantamine hydrobromide
C0282471|dalteparin sodium
C1966407|raltegravir potassium
C0282321|propranolol hydrochloride
C1567130|inotuzumab ozogamicin
C3818721|ceritinib
C0011777|dexamethasone
C2929830|acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) / poliovirus vaccine inactivated, type 3 (Saukett) / tetanus toxoid vaccine, inactivated
C0007082|Carcinoembryonic Antigen
C1579393|formoterol fumarate dihydrate
C0054201|budesonide
C0022957|lactulose
C3489764|ixekizumab
C0772446|sodium acetate trihydrate
C0037732|soybean oil
C4719544|fish oil (containing omega-3 acids)
C0041485|tyrosine
C0772046|magnesium sulfate heptahydrate
C0724624|medium chain triglycerides
C0048959|5-((2-aminoethyl)amino)naphthalene-1-sulfonic acid
C0377349|sodium glycerophosphate
C0772384|zinc sulfate, heptahydrate
C0069449|olive oil
C4044947|baricitinib
C0527067|suplatast tosilate
C0733380|fluoxetine hydrochloride
C0124332|JP 992
C3256252|Phellodendron chinensis bark extract
C1018544|Citrus unshiu
C4018614|gambir leaf extract
C1882305|pazopanib hydrochloride
C3272851|edoxaban tosylate
C0076275|orlistat
C0282198|hydralazine hydrochloride
C0700533|hydromorphone hydrochloride
C1328025|pertuzumab
C0016277|fluconazole
C1170741|atomoxetine hydrochloride
C2732002|antihemophilic factor, human recombinant
C3896896|Fc-Fusion Protein BMS986004
C3661518|ipratropium bromide anhydrous
C0700468|verapamil hydrochloride
C0020402|hydroxyurea
C0032857|povidone-iodine
C4551016|Ertugliflozin L-pyroglutamic acid
C5235129|Sitagliptin Monophosphate Monohydrate
C0700563|bupropion hydrochloride
C1700683|rotigotine
C0246415|docetaxel
C2587204|thyrotropin alfa
C3537193|Human Immunoglobulin [EPC]
C0042680|vincristine sulfate
C2742502|ramucirumab
C3529352|evolocumab
C0893761|lacosamide
C1571574|bazedoxifene acetate
C0700453|fenoterol hydrobromide
C0069717|oxaliplatin
C2702117|Terlipressin acetate
C0699440|labetalol hydrochloride
C2348248|dexlansoprazole
C0076829|topiramate
C0537270|insulin detemir
C0357126|epoetin alfa
C0546866|gentamicin sulfate
C2948088|Centella asiatica extract
C5670514|Plectranthus Amboinicus Hydrophobic Extract
C0058218|dimethyl fumarate
C0071839|prednisolone acetate
C0016157|fish oils
C3273401|taliglucerase alfa
C3818700|coagulation factor IX recombinant immunoglobulin G1 fusion protein
C0057144|daptomycin
C2919267|velaglucerase alfa
C0962517|agalsidase alfa
C0022516|karaya gum
C2697950|lurasidone hydrochloride
C0304430|pseudoephedrine hydrochloride
C0700580|ipratropium bromide
C4330502|isatuximab
C3491331|brodalumab
C0006376|bumetanide
C0886642|paroxetine hydrochloride, hemihydrate
C3814772|glycopyrronium
C4301781|crisaborole
C4719543|patisiran sodium
C2935436|ado-trastuzumab emtansine
C5394784|Ondansetron hydrochloride dihydrate
C0037982|spironolactone
C0002335|alprostadil
C1725449|perindopril arginine
C1172734|natalizumab
C4033441|influenza B virus B/Phuket/3073/2013 antigen
C1883559|Wild Type
C5390773|influenza B virus B/Victoria/705/2018 antigen
C5390016|influenza A virus A/Hong Kong/2671/2019 (H3N2) antigen
C5390015|influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen
C0753678|paliperidone
C0001927|albuterol
C0966500|antihemophilic factor, human recombinant residues 743-1636 deleted
C2719626|paliperidone palmitate
C0972314|etoricoxib
C0022322|ivermectin
C0795650|pantoprazole sodium
C0771929|pantoprazole (as pantoprazole sodium sesquihydrate)
C0006674|calcitriol
C0719138|Capozide 25/25
C0055895|clobetasol propionate
C3896946|gilteritinib fumarate
C0377265|levetiracetam
C0049065|decitabine
C0019142|heparinoids
C2987716|vismodegib
C0254119|interferon beta-1a
C0145106|teicoplanin
C0245531|salmeterol xinafoate
C0117996|fluticasone propionate
C2742587|nemonoxacin
C0543495|albuterol sulfate
C2000145|selexipag
C0210630|filgrastim
C1136535|pegfilgrastim
C0040879|triazolam
C0937609|choriogonadotropin alfa
C0887128|metoclopramide hydrochloride
C0023660|lidocaine
C4076214|Isopropyl methylphenol
C5421179|Mirogabalin Besylate
C0618327|bisbentiamine
C0042845|vitamin B12
C0078375|alpha-tocopherol succinate
C0134258|xylometazoline hydrochloride
C0919257|Ftorafur
C0535459|gimeracil
C0393003|potassium oxonate
C4033447|sacubitril
C4033631|sacubitril / valsartan
C4511451|esomeprazole magnesium trihydrate
C0936148|posaconazole
C4505508|lanadelumab
C0039601|testosterone
C4529301|bevacizumab-awwb
C0772139|bendamustine hydrochloride
C0969324|mepolizumab
C0037513|heparin sodium
C1176308|tolvaptan
C0771293|dorzolamide hydrochloride
C0060578|flupenthixol decanoate
C0001047|acetylcysteine
C3657824|siponimod
C5136833|Siponimod fumaric acid
C0033487|propofol
C0700582|epirubicin hydrochloride
C4018470|isavuconazonium sulfate
C0851344|exemestane
C1831808|apixaban
C0935916|fulvestrant
C0282388|idarubicin hydrochloride
C2606637|elvitegravir
C0004906|beclomethasone dipropionate
C4082411|Glycopyrronium Bromide
C1609165|tocilizumab
C3859491|meningococcal group B vaccine
C5433054|Indacaterol acetate
C0066700|mometasone furoate
C0021186|indapamide
C0085174|misoprostol
C0137440|dexchlorpheniramine maleate
C0006938|captopril
C0033228|fenofibrate
C0069751|oxcarbazepine
C3496793|enzalutamide
C0076080|temozolomide
C0030829|penicillin G benzathine
C1176316|tadalafil
C0025598|metformin
C0063828|ioversol
C0001962|ethanol
C2745274|tafamidis
C0700492|losartan potassium
C2975721|177Lu-octreotate
C1302054|laronidase
C2928901|folic acid / iron polysaccharide / vitamin B12
C0700545|methylphenidate hydrochloride
C2353893|golimumab
C0700583|diclofenac sodium
C1685365|ivabradine hydrochloride
C0282131|diclofenac potassium
C0937917|bimatoprost
C0383429|alemtuzumab
C4511566|Lapatinib ditosylate monohydrate
C2001525|ceftaroline fosamil
C0033308|progesterone
C0028040|nicotine
C0004482|azathioprine
C0144576|paclitaxel
C0040018|thrombin
C0016006|fibrinogen
C0032140|plasminogen
C0671970|capecitabine
C1375516|measles virus preparation
C0369690|Mumps virus antibody
C0035923|Rubella virus vaccine
C0042338|herpesvirus 3, human
C2364481|romiplostim
C0065767|calcipotriene
C0005308|betamethasone
C0009262|colchicine
C0246904|levosimendan
C0244718|perindopril erbumine
C2717561|riociguat
C0014938|estrogens, conjugated (USP)
C1529800|bosentan monohydrate
C0252643|bosentan
C0021968|iodine
C0070570|phenol
C0036079|salicylic acid
C0023570|levodopa
C0165921|entacapone
C4511365|Carbidopa monohydrate
C1099664|fondaparinux sodium
C0939537|imatinib mesylate
C0030054|oxygen
C1321596|miglustat
C3652486|rabies, inactivated, whole virus
C0062525|hepatitis B immune globulin
C0305058|tetanus immune globulin, human
C0063041|leflunomide
C1101148|bilastine
C0042671|vinblastine sulfate
C1739768|rivaroxaban
C2343849|dabigatran etexilate mesylate
C1260199|cinacalcet hydrochloride
C0771322|somatostatin acetate
C3273321|afatinib dimaleate
C5238146|spesolimab
C0450099|Influenza virus antigen
C4519740|enfortumab vedotin
C5226874|pralsetinib
C4519730|vadadustat
C5390017|remimazolam besylate
C5418449|maralixibat chloride
C3180809|germanium chloride
C5139934|tirzepatide
C5235398|teclistamab
C4724806|cemiplimab
C0286651|atorvastatin
C0017066|ganciclovir
C2351038|tremelimumab
C5557360|mobocertinib succinate
C4511278|imipenem monohydrate
C0282395|cilastatin sodium
C4726670|relebactam monohydrate
C5455243|leuprolide mesylate
C0079691|levothyroxine sodium
C0027680|neostigmine methylsulfate
C0002546|Aminocaproic Acids
C0032823|potassium aspartate
C3898565|lurbinectedin
C5420928|deucravacitinib
C4045520|eravacycline
C4519745|vosoritide
C2983948|flutemetamol F-18
C5418242|glofitamab
C4519114|evocalcet
C1508759|maribavir
C0046056|fluorodeoxyglucose F18
C0060276|ferrous fumarate
C0016410|folic acid
C0770456|pilocarpine hydrochloride
C5139904|mirikizumab
C0006863|cannabidiol
C0123163|idebenone
C5420908|acalabrutinib (as maleate)
C5227756|asciminib hydrochloride
C4519126|rimegepant
C4278198|olipudase alfa
C5545149|nirmatrelvir
C0292818|ritonavir
C3490329|glycerol phenylbutyrate
C2744440|niraparib
C0936139|strontium ranelate
C4746084|tagraxofusp
C3713057|caplacizumab
C5418278|ritlecitinib
C1533699|gemtuzumab ozogamicin
C0057558|desogestrel
C5221242|cefiderocol sulfate tosylate
C4519188|daprodustat
C1572572|FLUDEOXYGLUCOSE
C1145760|treprostinil
C0657912|pregabalin
C0090306|latanoprost
C0700463|piperacillin sodium
C0724700|tazobactam sodium
C0771907|anagrelide hydrochloride
C4727763|Turoctocog alfa pegol
C0006217|bromelains
C1176309|bortezomib
C0665540|perfluorobutane
C0028978|omeprazole
C5230707|Live attenuated human Rotavirus RIX4414 strain antigen
C4059915|alectinib hydrochloride
C0011479|deoxycholic acid
C0015011|ethinyl estradiol
C0047683|etonogestrel
C0009074|clotrimazole
C4310385|cabotegravir
C0022180|isoflurane
C0081876|pantoprazole
C2933912|opicapone
C0282123|daunorubicin hydrochloride
C1541483|eculizumab
C5578549|alpha-tocopherol calcium succinate, DL-
C1579413|Pramipexole dihydrochloride monohydrate
C0016860|furosemide
C1814908|Bupivacaine hydrochloride monohydrate
C4301236|nusinersen
C0085149|tacrolimus
C0012472|dinoprostone
C1619966|abatacept
C4033627|Bordetella pertussis filamentous hemagglutinin vaccine, inactivated / Bordetella pertussis pertactin vaccine, inactivated / Bordetella pertussis toxoid vaccine, inactivated / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) / poliovirus vaccine inactivated, type 3 (Saukett) / tetanus toxoid vaccine, inactivated
C2982078|benralizumab
C0069632|rocuronium bromide
C4059057|cobimetinib fumarate
C5139788|abrocitinib
C4045491|doravirine
C3652508|hepatitis A, inactivated, whole virus
C1566826|rilpivirine
C0015689|omega-3 fatty acids
C0771825|triptorelin acetate
C0071214|plasma protein fraction
C0369334|Hepatitis B Virus Surface Antibody
C3464497|varicella-zoster virus vaccine live (Oka-Merck) strain
C0040341|tobramycin
C4722567|Dinutuximab beta
C2366367|C1 esterase inhibitor (human)
C0771414|lanreotide acetate
C0068395|nandrolone decanoate
C4278463|emicizumab
C0040845|tretinoin
C2723461|ulipristal acetate
C0092777|clofarabine
C0065864|medroxyprogesterone acetate
C1271607|lutropin alfa
C0872913|tenecteplase
C5419370|Filgotinib maleate
C0546861|doxorubicin hydrochloride
C0350422|dextromethorphan hydrobromide
C0546864|fentanyl citrate
C1328071|methoxy polyethylene glycol-epoetin beta
C0573524|Amoxycillin overdose
C0137997|clavulanate potassium
C2194076|metoclopramide hydrochloride monohydrate
C0001443|adenosine
C4683808|Tirabrutinib Hydrochloride
C0077768|brimonidine tartrate
C0700474|pravastatin sodium
C0031676|phospholipids
C0024002|lorazepam
C5139819|omidenepag isopropyl
C1691209|Octocog alfa
C0004147|atenolol
C0530105|cisatracurium besylate
C0369080|Cytomegalovirus IgG Antibody
C5418318|avalglucosidase alfa
C0025872|metronidazole
C4083872|antihemophilic factor (recombinant) pegylated
C1882406|Plaque Forming Unit
C0752310|dexmedetomidine hydrochloride
C0012582|dipyridamole
C0355800|naltrexone hydrochloride
C0795575|eptacog alfa activated
C0521900|amoxicillin trihydrate
C0072980|sirolimus
C0060483|fludarabine phosphate
C0010977|dantrolene sodium
C0058733|doxylamine succinate
C0771369|diclofenac diethylammonium
C1707080|temsirolimus
C0002679|amphotericin B
C0171023|olanzapine
C0030304|pancreatin
C1321947|Luteinising hormone (human)
C5688117|Lanthanum carbonate hydrate
C0594375|irinotecan hydrochloride
C2194037|Atropine sulfate monohydrate
C0074414|sevoflurane
C4519269|lemborexant
C0936142|pemetrexed disodium
C0771482|fenticonazole nitrate
C0063757|iodixanol
C0022005|iohexol
C0356588|pamidronate disodium
C1307126|factor VIII, human
C3883805|coagulation factor IX (recombinant), glycopegylated
C1321643|levocetirizine dihydrochloride
C5419302|Eladocagene exuparvovec
C0022265|isotretinoin
C0073393|risperidone
C5238205|atogepant
C5419330|talquetamab
C3659310|bempedoic acid
C1509436|solifenacin succinate
C5230708|Live attenuated Varicellovirus humanalpha3 Oka strain antigen
C4045824|sodium zirconium cyclosilicate
C0070455|permethrin
C4079904|andexanet alfa
C5203804|loncastuximab tesirine
C0001714|polymyxin B sulfate
C5856889|RSVPreF3/AS01E RSV Vaccine
C0770309|thiamine hydrochloride
C0304965|sodium fluoride f-18
C5207636|trientine tetrahydrochloride
C4726937|valoctocogene roxaparvovec
C2981360|lebrikizumab
C5435024|molnupiravir
C5554559|pirtobrutinib
C5238059|dotinurad
C5667166|elranatamab
C5418281|epcoritamab
C5432263|cilgavimab
C5432264|tixagevimab
C5455443|inclisiran sodium
C0063077|hydrocortisone acetate
C0051510|aluminum acetate
C0043491|zinc oxide
C0026186|minocycline hydrochloride
C0304407|Nicotine resin complex
C0937916|travoprost
C0649350|rivastigmine
C2973895|lixisenatide
C0024477|magnesium oxide
C0026196|minoxidil
C2830183|cabazitaxel
C0006949|carbamazepine
C4325236|naldemedine tosylate
C2608038|eribulin mesylate
C0740235|proparacaine hydrochloride
C0010711|cytarabine
C0002563|aminolevulinic acid
C5419289|tepotinib hydrochloride
C5140530|patent blue V sodium
C3265062|vitamin D3
C0700482|alendronate sodium
C0527189|olopatadine
C0771892|olopatadine hydrochloride
C0015772|felodipine
C1880492|eltrombopag olamine
C3885063|idarucizumab
C0886603|Sodium Selenite Pentahydrate
C0060241|iron sucrose
C4762343|pitolisant hydrochloride
C1177870|Lactobacillus Acidophilus Bulk powder
C1615162|Bifidobacterium bifidum Oral Powder
C0017687|glucagon
