PostingID|Sponsor|StudyTitle|Disorder|Phase|LinkToSponsorStudyRegistry|LinkToClinicalTrials|drug_cui|drug_names
16|GSK|A Phase I, Open-Label, Randomized, Two Period Crossover Study to Investigate the Effects of GW679769 on the Pharmacokinetics of Docetaxel in Subjects with Cancer|Nausea and Vomiting, Chemotherapy-Induced|Phase 1|https://www.gsk-studyregister.com/en/trial-details/?id=NKV100781|http://clinicaltrials.gov/show/NCT00440128|[C2347566]|[casopitant]
19|GSK|A single-blind, randomized, comparative pilot study evaluating the tolerability of two topical combination therapies in the treatment of acne vulgaris|Acne Vulgaris|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=114544|http://clinicaltrials.gov/show/NCT00887484|[C0005088, C0055881]|[benzoyl peroxide, clindamycin phosphate]
20|GSK|Ethanol-Free Clobetasol Propionate Foam 0.05% (Olux-E Foam) vs Vehicle Foam in the Treatment of Chronic Hand Dermatitis.|Dermatitis, Chronic|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=115054|http://clinicaltrials.gov/show/NCT01323673|[C0008992]|[clobetasol]
21|GSK|A randomised, double-blind, placebo-controlled, dose ascending, 2-cohort, parallel group study to examine the safety, tolerability, pharmacokinetics and pharmacodynamics of twice-daily inhaled doses of GSK233705B formulated with the excipient Magnesium Stearate in COPD subjects for 7-days.|Pulmonary Disease, Chronic Obstructive|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=AC2108378|http://clinicaltrials.gov/show/NCT00453479|[C2699560]|[Darotropium Bromide]
22|GSK|Dose-Ranging Study for GSK233705B Delivered Once Daily in Subjects with COPD|Pulmonary Disease, Chronic Obstructive|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=AC2110664|http://clinicaltrials.gov/show/NCT00676052|[C2699560]|[Darotropium Bromide]
23|GSK|A multicenter, randomized, double-blind, placebo-controlled, parallel-group, 4-week study to evaluate the safety, tolerability, pharmacodynamics and pharmacokinetics of repeat inhaled doses of the combination of GSK233705 and GW642444 administered once-daily in subjects with COPD|Pulmonary Disease, Chronic Obstructive|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=DB1111581|http://clinicaltrials.gov/show/NCT00749411|[C2935023, C2699560]|[vilanterol, Darotropium Bromide]
32|GSK|A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multi-Center Study to Evaluate the Effects of a One-Year Course of Fluticasone Furoate Nasal Spray 110mcg QD on Growth in Pre-Pubescent, Pediatric Subjects with Perennial Allergic Rhinitis|Rhinitis, Allergic, Perennial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=FFR101782|http://clinicaltrials.gov/show/NCT00570492|[C1948374]|[fluticasone furoate]
33|GSK|A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multicenter, Two-Year Study to Evaluate the Ocular Safety of Once-Daily, Fluticasone Furoate Nasal Spray 110mcg in Adults and Adolescents 12 Years of Age and Older with Perennial Allergic Rhinitis|Rhinitis, Allergic, Perennial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=FFR110537|http://clinicaltrials.gov/show/NCT00682643|[C1948374]|[fluticasone furoate]
34|GSK|A Pilot, Randomised, Double-blind, Placebo-controlled, Parallel-group, Multicentre Study to Evaluate the Efficacy and Safety of Once-daily Intranasal Administration of Fluticasone Furoate Nasal Spray 110 mcg for 4 Weeks in Adults and Adolescents with Irritant (Non-Allergic) Rhinitis|Rhinitis, Allergic, Perennial|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=FFR111158|http://clinicaltrials.gov/show/NCT00730756|[C1948374]|[fluticasone furoate]
35|GSK|A Randomized, Double-blind, Placebo-controlled, Active Comparator, One-Week, Cross-Over, Multicenter Study to Evaluate the Efficacy and Patient Preference of Nasal Spray Characteristics of Once-Daily, Intranasal Administration of 110mcg Fluticasone Furoate Nasal Spray and 200mcg Fluticasone Propionate Nasal Spray in Adult Subjects with Seasonal Allergic Rhinitis|Rhinitis, Allergic, Perennial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=FFU105924|http://clinicaltrials.gov/show/NCT00539006|[C1948374]|[fluticasone furoate]
36|GSK|A Randomized, Double-blind, Placebo-controlled, Active Comparator, One-Week, Cross-Over, Multicenter Study to Evaluate the Efficacy and Patient Preference of Nasal Spray Characteristics of Once-Daily, Intranasal Administration of 110mcg Fluticasone Furoate Nasal Spray and 200mcg Fluticasone Propionate Nasal Spray in Adult Subjects with Seasonal Allergic Rhinitis|Rhinitis, Allergic, Perennial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=FFU105927|http://clinicaltrials.gov/show/NCT00519636|[C1948374]|[fluticasone furoate]
37|GSK|A Comparison of Fluticasone Furoate Nasal Spray versus Oral Fexofenadine in the treatment of seasonal allergic rhinitis|Rhinitis, Allergic, Seasonal|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=FFU109047|http://clinicaltrials.gov/show/NCT00502775|[C1948374]|[fluticasone furoate]
38|GSK|A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Evaluate the Efficacy and Safety of Once-Daily Intranasal Administration of Fluticasone Furoate Nasal Spray 110mcg in Adult and Adolescent Subjects 12 years of Age and Older with Perennial Allergic Rhinitis (PAR)|Rhinitis, Allergic, Perennial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=FFU111439|http://clinicaltrials.gov/show/NCT00609674|[C1948374]|[fluticasone furoate]
39|GSK|A randomised, double-blind, placebo-controlled, 4-period, incomplete block, crossover study to assess the dose-response curve of intranasal fluticasone propionate (25, 50, 100 and 200 g, once daily for 8 days) in the Vienna Challenge Chamber for the purpose of investigating the sensitivity of the model when evaluating glucocorticosteroids|Rhinitis, Allergic, Perennial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=110341|http://clinicaltrials.gov/show/NCT00848965|[C0117996]|[fluticasone propionate]
40|GSK|A 52-week, Randomized, Double-Blind, Parallel-Group Study of Fluticasone Propionate/Salmeterol DISKUS Combination Product (FSC) 250/50 mcg BID and Fluticasone Propionate (FP) DISKUS 250 mcg BID in Treatment of Subjects with Asthma|Asthma|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=ADA109055|http://clinicaltrials.gov/show/NCT00452699|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
41|GSK|A 52-week, Randomized, Double-Blind, Parallel-Group Study of Fluticasone Propionate/Salmeterol DISKUS Combination Product (FSC) 250/50 mcg BID and Fluticasone Propionate (FP) DISKUS 250 mcg BID in Treatment of Subjects with Asthma|Asthma|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=ADA109057|http://clinicaltrials.gov/show/NCT00452348|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
42|GSK|A Randomized, Double-Blind, Parallel Group study of ADVAIR™ DISKUS™ 100/50 and FLOVENT™DISKUS™ 100, both twice daily, in a Pediatric Population during the Fall Viral Season.|Asthma|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=113872|http://clinicaltrials.gov/show/NCT01192178|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
43|GSK|A Randomized, Double-Blind, Parallel-Group, 24-Week Study to Evaluate the Efficacy and Safety of ADVAIR DISKUS (Fluticasone Propionate/Salmeterol Combination Product 250/50mcg Inhalation Powder) BID Plus Spiriva HandiHaler (Tiotropium Bromide Inhalation Powder 18mcg) QD Versus Spiriva QD Plus Placebo DISKUS BID in Subjects with Chronic Obstructive Pulmonary Disease (COPD)|Pulmonary Disease, Chronic Obstructive|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=111114|http://clinicaltrials.gov/show/NCT00784550|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
44|GSK|A Randomized, Double-Blind, Double-Dummy, Parallel Group 12-Week Comparison of the Efficacy and Safety of Fluticasone Propionate/Salmeterol Hydrofluoroalkane 134a Metered-Dose-Inhaler 230/42mcg twice-daily with Fluticasone Propionate/Salmeterol DISKUS 250/50mcg twice-daily in subjects with COPD|Pulmonary Disease, Chronic Obstructive|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=111117|http://clinicaltrials.gov/show/NCT00633217|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
45|GSK|A Randomized, Double-Blind, Parallel-Group, 16-Week Study to Evaluate the Effect of Fluticasone Propionate/Salmeterol DISKUS® 250/50mcg BID and Placebo on Arterial Stiffness in Subjects with Chronic Obstructive Pulmonary Disease (COPD)|Pulmonary Disease, Chronic Obstructive|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=112355|http://clinicaltrials.gov/show/NCT00857766|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
46|GSK|A study of fluticasone propionate/salmeterol DISKUS combination product 250/50 mcg twice daily plus tiotropium 18 mcg daily versus placebo DISKUS twice daily plus tiotropium 18 mcg daily on exercise time and physiological parameters in subjects with Chronic Obstructive Pulmonary Disease|Pulmonary Disease, Chronic Obstructive|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=113877|http://clinicaltrials.gov/show/NCT01124422|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
47|GSK|A randomized, double-blind, parallel group study evaluating the safety of fluticasone propionate/salmeterol 100/50mcg HFA (2 inhalations of 50/25mcg) twice daily compared with fluticasone propionate 100mcg HFA (2 inhalations of 50mcg) twice daily in subjects 4-11 years of age with persistent asthma|Asthma|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=SFA106484|http://clinicaltrials.gov/show/NCT00441441|[C0117996, C0073992]|[fluticasone propionate, salmeterol]
48|GSK|FondaparinUx Trial with Unfractionated Heparin (UFH) during Revascularization in Acute Coronary Syndromes (ACS) (FUTURA). A prospective study evaluating the safety of two regimens of adjunctive intravenous UFH during PCI in high risk patients with Unstable Angina/Non ST segment elevation myocardial infarction (UA/NSTEMI) initially treated with subcutaneous fondaparinux and referred for early coronary angiography (OASIS 8)|Acute Coronary Syndrome|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=108888|http://clinicaltrials.gov/show/NCT00790907|[C1099664]|[fondaparinux sodium]
49|GSK|Clinical Evaluation of GSK576428 (Fondaparinux Sodium) in the Treatment of Acute Pulmonary Thromboembolism (PE)|Embolism, Pulmonary|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=106206|http://clinicaltrials.gov/show/NCT00981409|[C1099664]|[fondaparinux sodium]
50|GSK|Clinical Evaluation of GSK576428 (Fondaparinux Sodium) in the Treatment of Acute Deep Vein Thrombosis (DVT)|Thrombosis, Venous|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=111436|http://clinicaltrials.gov/show/NCT00911157|[C1099664]|[fondaparinux sodium]
51|GSK|An 8 day, randomised, double blind, 3-way crossover trial of repeat doses of intranasal GSK256066 and fluticasone propionate in the Vienna Challenge Chamber in subjects with seasonal allergic rhinitis (SAR)|Rhinitis, Allergic, Seasonal|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=IPR110723|http://clinicaltrials.gov/show/NCT00612820|[C2934026]|[GSK-256066]
52|GSK|A randomised, placebo-controlled, incomplete block, three-way cross-over study to evaluate the effect of treatment with repeat inhaled doses of GW870086X on the allergen-induced early and late asthmatic response in subjects with mild asthma|Asthma|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=110762|http://clinicaltrials.gov/show/NCT00857857|[C3659427]|[GW870086X]
53|GSK|An Open-Label Trial Measuring Satisfaction and Convenience of Two Formulations of Lamotrigine in Subjects with a Mood Disorder|Mood Disorders|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=LBI108884|http://clinicaltrials.gov/show/NCT00579982|[C0064636]|[lamotrigine]
54|GSK|Lamotrigine Extended-Release in Elderly Patients with Epilepsy|Epilepsy|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=LEP105972|http://clinicaltrials.gov/show/NCT00516139|[C0064636]|[lamotrigine]
55|GSK|Study SCA104779, an evaluation of BW430C (lamotrigine) versus placebo in the prevention of mood episodes in bipolar I disorder patients|Bipolar Disorder|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=SCA104779|http://clinicaltrials.gov/show/NCT00550407|[C0064636]|[lamotrigine]
56|GSK|Study SCA106052, a clinical evaluation of BW430C (lamotrigine) in bipolar I disorder– Long-term extension study (extension of study SCA104779 (NCT00550407))|Bipolar Disorder|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=SCA106052|http://clinicaltrials.gov/show/NCT00566020|[C0064636]|[lamotrigine]
74|GSK|A Randomized, Double-Blind, Placebo-Controlled, Forced Titration Study to Assess the Efficacy and Safety of Omacor, Co-Administered with Open-Label Atorvastatin Therapy, in Hypertriglyceridemic Subjects|Hypertriglyceridemia|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=OM9L|http://clinicaltrials.gov/show/NCT00435045|[C1532673]|['omega-3 acid ethyl esters (USP)']
79|GSK|Durable-Response Therapy Evaluation For Early or New-Onset Type 1 Diabetes - DEFEND|Diabetes Mellitus, Type 1|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=115495|http://clinicaltrials.gov/show/NCT00678886|[C2935224]|[otelixizumab]
80|GSK|A randomised, single-blind, placebo-controlled, study to evaluate the safety, tolerability, pharmacodynamics and pharmacokinetics of single ascending administration of otelixizumab in subjects with Type 1 Diabetes Mellitus|Diabetes Mellitus, Type 1|Phase 1|https://www.gsk-studyregister.com/en/trial-details/?id=112438|http://clinicaltrials.gov/show/NCT00946257|[C2935224]|[otelixizumab]
82|GSK|A randomised, double-blind, placebo controlled, parallel group , flexible dose study to evaluate the efficacy and safety of Paxil® Tablets in children and adolescents with Major Depressive Disorder<Post-marketing clinical study>|Depressive Disorder|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=112487|http://clinicaltrials.gov/show/NCT00812812|[C0070122]|[paroxetine]
101|GSK|Randomized, double-blind, placebo-controlled study to evaluate the safety, tolerability, pharmacokinetics (PK) and efficacy of Retapamulin ointment, 1% applied twice daily for 3 or 5 days to the anterior nares of healthy adult subjects nasally colonized with Staphylococcus aureus|Infections, Bacterial|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=ALB110247|http://clinicaltrials.gov/show/NCT00539994|[C1703334]|[retapamulin]
102|GSK|An Open-Label, Non-Comparative Study to Assess the Pharmacokinetics, Safety and Efficacy of Topical Retapamulin (SB-275833) Ointment, 1%, Twice Daily for Five Days in the Treatment of Uncomplicated Skin and Skin Structure Infections in Pediatric Subjects Aged 2 to 24 Months|Skin Infections, Bacterial|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=TOC106489|http://clinicaltrials.gov/show/NCT00555061|[C1703334]|[retapamulin]
103|GSK|A Randomized, Double-Blind, Multicenter, Placebo-controlled, Phase III Superiority Study to Assess the Safety and Efficacy of Topical Retapamulin Ointment, 1%, versus Placebo Ointment Applied Twice Daily for 5 Days in the Treatment of Adult and Pediatric Subjects with SITL|Skin Infections, Bacterial|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=110977|http://clinicaltrials.gov/show/NCT00684177|[C1703334]|[retapamulin]
104|GSK|A Randomized, Double-Blind, Double Dummy, Comparative, Multicenter Study to Assess the Safety and Efficacy of Topical Retapamulin Ointment, 1%, versus Oral Linezolid in the Treatment of Secondarily-Infected Traumatic Lesions and Impetigo Due to Methicillin-Resistant Staphylococcus aureus|Skin Infections, Bacterial|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=110978|http://clinicaltrials.gov/show/NCT00852540|[C1703334]|[retapamulin]
105|GSK|An open label, single-dose, fixed sequence, two treatment period study to assess the effect of haemodialysis on the pharmacokinetics of ezogabine/retigabine and the n-acetyl metabolite of ezogabine/retigabine (NAMR).|Epilepsy|Phase 1|https://www.gsk-studyregister.com/en/trial-details/?id=115214|http://clinicaltrials.gov/show/NCT01480609|[C0530684]|[ezogabine]
106|GSK|A multicenter, randomized, 12 week, double-blind, placebo-controlled, parallel-group, Phase IIa study using 18F fluorodeoxyglucose (FDG)-PET to measure the effects of rilapladib on macrophage activity in subjects with atherosclerosis|Atherosclerosis|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=LP2105521|http://clinicaltrials.gov/show/NCT00695305|[C2699087]|[rilapladib]
107|GSK|A Proof-of-Concept Study Of SB-751689 In Men And Post-menopausal Women With A Fractured Distal Radius|Fracture Healing|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=CR9108914|http://clinicaltrials.gov/show/NCT00548496|[C2825588]|[ronacaleret]
108|GSK|Study CR9108963: A 12-month, randomized, double-blind, parallel-group, placebo and active-controlled dose-range finding study of the efficacy and safety of SB-751689 in post-menopausal women with osteoporosis|Osteoporosis|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=CR9108963|http://clinicaltrials.gov/show/NCT00471237|[C2825588]|[ronacaleret]
110|GSK|Clinical Evaluation of ropinirole PR/XR Tablet for Adjunctive Therapy to L-dopa in subjects with advanced Parkinson’s disease|Parkinson Disease|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=106066|http://clinicaltrials.gov/show/NCT00823836|[C0244821]|[ropinirole]
111|GSK|An open label, repeat dose, dose escalation study conducted in Parkinson's Disease patients to characterize the pharmacokinetics and effect of food on ropinirole prolonged release (PR/CR) 12mg tablets.|Parkinson Disease|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=ROP109087|http://clinicaltrials.gov/show/NCT00460148|[C0244821]|[ropinirole]
112|GSK|Clinical evaluation of ropinirole IR (immediate release) tablets in patients who are diagnosed with symptomatic restless legs syndrome (RLS) associated with Chronic kidney disease (CKD) managed with haemodialysis (including haemofiltration and haemodiafiltration)|Restless Legs Syndrome|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=113079|http://clinicaltrials.gov/show/NCT00996944|[C0244821]|[ropinirole]
113|GSK|Clinical Evaluation of Ropinirole CR-RLS Tablets in Restless Legs Syndrome-Open-Label, Uncontrolled Study. Classification: Clinical Pharmacology, Exploratory|Restless Legs Syndrome|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=107846|http://clinicaltrials.gov/show/NCT00530790|[C0244821]|[ropinirole]
114|GSK|An open-label extension study of the long-term safety and efficacy of rosiglitazone extended-release (RSG XR) as adjunctive therapy to acetylcholinesterase inhibitors in subjects with mild-to-moderate Alzheimer's disease (REFLECT-4).|Alzheimer's Disease|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=AVA102675|http://clinicaltrials.gov/show/NCT00490568|[C0289313]|[rosiglitazone]
115|GSK|An open-label extension study of the long-term safety and efficacy of rosiglitazone extended-release (RSG XR) in subjects with mild-to-moderate Alzheimer's disease (REFLECT-5)|Alzheimer's Disease|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=AVA102677|http://clinicaltrials.gov/show/NCT00550420|[C0289313]|[rosiglitazone]
116|GSK|A 24-week, double-blind, double-dummy, randomized, parallel-group study to investigate the effects of rosiglitazone (extended release tablets), donepezil, and placebo as monotherapy on cognition and overall clinical response in APOE ε4-stratified subjects with mild to moderate Alzheimer’s disease. (REFLECT-1)|Alzheimer's Disease|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=105640|http://clinicaltrials.gov/show/NCT00428090|[C0289313]|[rosiglitazone]
117|GSK|An open label single oral dose study in patients with mild Alzheimer's disease to assess the pharmacokinetics of extended release formulation of Rosiglitazone (RSG XR) in this population|Alzheimer's Disease|Phase 1|https://www.gsk-studyregister.com/en/trial-details/?id=AVA109941|http://clinicaltrials.gov/show/NCT00688207|[C0289313]|[rosiglitazone]
118|GSK|A 52 Week Randomized, Double-Blind, Multicenter, Mechanistic Study with a 24 Week Open-Label Follow-Up to Evaluate the Effect of AVANDIA TM on Bone in Postmenopausal Women with Type 2 Diabetes Mellitus|Diabetes Mellitus, Type 2|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=AVD111179|http://clinicaltrials.gov/show/NCT00679939|[C0289313]|[rosiglitazone]
119|GSK|Thiazolidinedione Intervention with vitamin D Evaluation (TIDE) A Multicenter Randomized Double-Blind Placebo Controlled Trial of a Thiazolidinedione or Placebo and of Vitamin D or Placebo In People With Type 2 Diabetes at Risk For Cardiovascular Disease|Diabetes Mellitus, Type 2|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=111960|http://clinicaltrials.gov/show/NCT00879970|[C0289313]|[rosiglitazone]
120|GSK|A randomized, double-blind, placebo controlled, incomplete block, 3 way cross over study in subjects with allergic rhinitis to assess the effect of intranasal repeat doses of SB-705498 when administered alone or in conjunction with intranasal fluticasone propionate on the symptoms of rhinitis in the Vienna allergen challenge chamber|Rhinitis|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=111924|http://clinicaltrials.gov/show/NCT01424397|[C1744311]|[SB 705498]
121|GSK|A Randomized, Double-blind, Double-dummy, Placebo-controlled, Crossover Study to Evaluate the Efficacy of TREXIMET® (Sumatriptan + Naproxen Sodium) vs. Butalbital-containing Combination Medications for the Acute Treatment of Migraine when administered during the Moderate-Severe Migraine Pain, 1 of 2|Migraine Disorders|Phase 3|nan|http://clinicaltrials.gov/show/NCT01812408|[C0075632, C0027396]|[sumatriptan, naproxen]
122|GSK|A Crossover, Randomized, Double-blind, Double-dummy, Placebo-controlled Study to Evaluate the Efficacy of TREXIMET®/Sumatriptan + Naproxen Sodium vs. Butalbital-containing Combination Medications for the Acute Treatment of Migraine when administered during Moderate-Severe Migraine Pain, 2 of 2|Migraine Disorders|Phase 3|nan|http://clinicaltrials.gov/show/NCT00599157|[C0075632, C0027396]|[sumatriptan, naproxen]
123|GSK|Assessment of the effect of sumatriptan and naproxen sodium combination tablet, sumatriptan tablet, and naproxen sodium tablet treatment on blood pressure when administered intermittently for six months for the acute treatment of migraine attacks, with or without aura, in adults|Migraine Disorders|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=110948|http://clinicaltrials.gov/show/NCT00792636|[C0075632, C0027396]|[sumatriptan, naproxen]
124|GSK|A Multicenter, Randomized, Double-Blind, Vehicle-Controlled, Parallel-Group Study to Evaluate the Safety and Efficacy of Tazarotene Foam, 0.1%, in Subjects with Acne Vulgaris|Acne Vulgaris|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=114575|http://clinicaltrials.gov/show/NCT01017146|[C0288792]|[tazarotene]
125|GSK|A Multicenter, Randomized, Double-Blind, Vehicle-Controlled, Parallel-Group Study to Evaluate the Safety and Efficacy of Tazarotene Foam, 0.1%, in Subjects with Acne Vulgaris|Acne Vulgaris|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=114576|http://clinicaltrials.gov/show/NCT01017120|[C0288792]|[tazarotene]
127|GSK|A multi-centre, randomized, double-blind, placebo-controlled, cross-over study to evaluate the effects of GW597599 and GR205171 on sleep continuity, PSG sleep recordings, subjective sleep assessment and daytime cognitive function in subjects with primary insomnia|Sleep Initiation and Maintenance Disorders|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=NKI110334|http://clinicaltrials.gov/show/NCT00606697|[C2607417]|[vestipitant]
128|GSK|A 28-Day, Polysomnographic and Subjective Assessment of Vestipitant (15mg/day) for the Treatment of Primary Insomnia in Adult Outpatients|Sleep Disorders|Phase 2|https://www.gsk-studyregister.com/en/trial-details/?id=111364|http://clinicaltrials.gov/show/NCT00992160|[C2607417]|[vestipitant]
